n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,283,8,1,16,10,True,936.080003157258,79.72000166773796,11.742097134652745
16,284,0,2,16,200,True,3.224500105716288,35.75199982151389,0.09019076196615815
16,285,10,1,16,10,True,700.3799895755947,59.170008171349764,11.836739781197462
16,286,3,2,16,200,True,33.327999990433455,48.44849987421185,0.6879057159037709
16,287,7,2,16,40,True,39.91000121459365,42.82750014681369,0.9318779073674909
16,288,3,2,16,200,True,25.841000024229288,31.808000057935715,0.8124056833866318
16,289,8,1,16,10,True,730.2499958314002,50.490000285208225,14.463259887232313
16,290,1,2,16,200,True,6.385999731719494,15.2009999146685,0.4201039252396284
16,291,7,2,16,200,True,78.64600047469139,55.947499931789935,1.4057107211327586
16,292,4,2,16,200,True,24.996499996632338,30.582500039599836,0.8173465205351279
16,293,6,2,16,40,True,61.109999660402536,50.72249914519489,1.2047907869340797
16,294,7,2,16,200,True,42.583500035107136,38.82649994920939,1.096763810562694
16,295,11,1,16,40,True,579.5650009531528,63.517497619614005,9.124493606848027
16,296,6,2,16,200,True,49.75049989297986,51.16200016345829,0.9724111593376177
16,297,4,2,16,200,True,33.70199992787093,26.24099957756698,1.2843260725739365
16,298,5,2,16,200,True,50.44249992351979,63.29099996946753,0.7969932525612483
16,299,4,2,16,200,True,19.29249963723123,34.1810000827536,0.5644217427963869
18,0,5,3,5,200,True,4.765000194311142,3.8920005317777395,1.2243061519147955
18,1,6,3,6,200,True,5.775999743491411,6.549499812535942,0.881899367709878
18,2,6,3,6,200,True,5.652499967254698,4.816000000573695,1.1736918535260294
18,3,6,3,6,200,True,6.0940004186704755,5.07350021507591,1.2011432266351636
18,4,7,3,7,200,True,8.69350042194128,4.738999996334314,1.834458837025919
18,5,6,3,6,200,True,9.737499640323222,7.036500028334558,1.3838555533450276
18,6,3,3,3,200,True,4.350999952293932,3.216500044800341,1.3527125421084871
18,7,6,3,6,200,True,9.163999930024147,4.578000516630709,2.001747246802107
18,8,5,3,5,200,True,5.5570004042238,3.7620001239702106,1.4771398780176657
18,9,3,3,3,200,True,4.618499660864472,3.580499906092882,1.2899035838557744
18,10,3,3,3,200,True,7.545999833382666,6.064999615773559,1.2441880150754492
18,11,5,3,5,200,True,4.317999701015651,3.358999965712428,1.2855015615041316
18,12,9,4,9,40,True,269.56000074278563,5.915001383982599,45.57226334261474
18,13,7,3,7,200,True,7.516499608755112,4.44350007455796,1.6915718426094217
18,14,6,3,6,200,True,8.347499533556402,4.3700000969693065,1.9101829172373659
18,15,8,4,8,40,True,266.8425004230812,5.864998092874885,45.49745732181155
18,16,3,3,3,200,True,3.766000154428184,3.023500321432948,1.2455762374926218
18,17,4,3,4,200,True,4.64599987026304,4.157500225119293,1.1174984049771712
18,18,7,3,7,200,True,5.150999641045928,5.077500245533884,1.0144755080172954
18,19,3,3,3,200,True,4.989499575458467,4.458000184968114,1.1192237255356137
18,20,7,3,7,200,True,6.9155002711340785,4.6170002315193415,1.4978340750176564
18,21,2,3,2,200,True,3.2429996645078063,4.697500262409449,0.6903671066203203
18,22,3,3,3,200,True,3.7289998726919293,3.41450038831681,1.0921070284400094
18,23,5,3,5,200,True,4.982499522157013,5.12650003656745,0.9719105601515113
18,24,8,4,8,40,True,258.8025003205985,4.732501110993326,54.686199591039774
18,25,7,3,7,200,True,4.984000115655363,3.720000386238098,1.3397848382202728
18,26,4,3,4,200,True,4.205000004731119,5.1914999494329095,0.8099778572068462
18,27,8,4,8,40,True,221.97749931365252,4.737501149065793,46.85539746147084
18,28,7,3,7,200,True,10.081499931402504,6.533999694511294,1.5429293545684108
18,29,2,3,2,200,True,4.2450003093108535,3.984500071965158,1.0653783994580823
18,30,5,3,5,200,True,5.579499993473291,4.01749974116683,1.3887990922067361
18,31,10,4,10,10,True,360.4999976232648,12.02001003548503,29.991655294713567
18,32,8,4,8,40,True,173.40249905828387,4.012498538941145,43.21559182524785
18,33,6,3,6,200,True,5.97250007558614,4.043499939143658,1.4770619922034698
18,34,4,3,4,200,True,3.4345005406066775,3.152999561280012,1.0892803737696637
18,35,5,3,5,200,True,4.99200017657131,4.184499848634005,1.192974156326211
18,36,5,3,5,200,True,5.6139996740967035,4.687500186264515,1.1976532162168338
18,37,4,3,4,200,True,5.019499803893268,3.6225002259016037,1.3856451320562624
18,38,4,3,4,200,True,8.636499987915158,7.611500332131982,1.1346646010716357
18,39,7,3,7,200,True,6.917999708093703,5.822500097565353,1.1881493503085432
18,40,10,4,10,40,True,278.0424983939156,5.897501250728965,47.14581423099282
18,41,7,3,7,200,True,6.677500205114484,4.097000346519053,1.6298510227825362
18,42,5,3,5,200,True,9.411500068381429,7.264500018209219,1.2955468435254365
18,43,7,3,7,200,True,8.323999936692417,5.68099960219115,1.4652350852976415
