trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
68,32,5,27,10,5,8.181666877741616,4.0090002585202456,1.327666686847806,0.6456665384272735,3.8353334336231155,6.583666739364466,6.85400019089381
69,24,8,16,18,10,6.737666747843226,2.275999868288636,2.724000175173084,0.6273334535459677,2.6210001669824123,8.58899982025226,4.013666572670143
69,32,8,24,18,10,9.279666701331735,4.3623331778993215,3.399333218112588,0.658999973287185,3.998333510632316,8.494333208849032,5.880333483219147
70,24,7,17,14,7,6.470999990900357,2.6410003192722797,2.184666615600387,0.5943335903187593,2.1806665851424136,9.067333303391933,4.28633337529997
70,32,7,25,14,7,8.139666557932895,5.588333588093519,2.0883333248396716,1.0666666397204,3.8356663814435406,7.159333520879348,6.051333233093223
71,24,3,21,9,5,6.346000203241905,3.6306663726766906,1.5776666502157848,0.9183333410571018,3.4860001566509404,6.773999969785412,4.76833355302612
71,32,3,29,9,5,8.98733347033461,5.536333192139864,1.5296666727711756,0.8709996473044157,4.20833316942056,6.978333306809266,7.4576667975634345
72,24,9,15,21,10,7.519999829431375,2.3686664644628763,3.717333311215043,0.6180000491440296,2.3733331666638455,11.07433345168829,3.8026665182163315
72,32,9,23,21,10,7.713666806618372,3.459666622802615,3.5033332339177528,0.6276664013663928,3.0419998802244663,10.69600034194688,4.21033357270062
73,24,3,21,7,4,4.6173331793397665,3.2110000029206276,0.8976665170242389,0.5330001780142386,2.8110000615318618,5.099000021194418,3.7196666623155275
73,32,3,29,7,4,6.449666495124499,4.599333430329959,1.1063336084286373,0.9523335999498765,4.191666375845671,6.382000089312593,5.343332886695862
74,24,5,19,11,6,6.734333389128247,3.5696666842947407,1.5853333752602339,0.665333354845643,2.783999855940541,9.615333595623573,5.149000013868013
74,32,5,27,11,6,8.154000000407297,5.83500019274652,2.720666816458106,1.095666472489635,5.414000091453394,9.093666449189186,5.433333183949191
75,24,4,20,7,3,4.592000041157007,2.7933336483935514,0.6556666145722071,0.5026666137079397,2.1746665394554534,4.6279999272276955,3.9363334265848002
75,32,4,28,7,3,8.332333527505398,5.84100023843348,1.2903334572911263,0.8276667601118485,4.92833360719184,7.569666486233473,7.0420000702142715
76,24,2,22,5,3,5.257666731874148,4.985999936858812,1.023666700348258,1.0380001428226628,4.942666661615173,7.254333468154073,4.23400003152589
76,32,2,30,5,3,6.7403334348152075,5.382666907583674,0.9386668292184671,0.7849997685601313,4.267333230624597,4.936333280056715,5.801666605596741
77,24,3,21,7,4,5.170999793335795,3.2449998737623296,1.7719999110947051,0.6883335299789906,4.053999825070301,5.9966665382186575,3.3989998822410903
