n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,73,3,False,True,2.7278601191937923,2.7296063490211964,0.9993602631280404,3
24,4,74,5,False,True,3.189754206687212,3.0240602791309357,1.054791873263814,5
24,4,75,4,False,True,2.4250545538961887,2.5319051928818226,0.9577983254325506,4
24,4,76,2,False,True,2.5377562269568443,2.8294557705521584,0.8969061306307715,2
24,4,77,3,False,True,2.788510173559189,2.9442552477121353,0.9471020475300266,3
24,4,78,6,False,True,3.137059975415468,3.2562087289988995,0.9634087481793396,6
24,4,79,7,False,True,3.867160994559527,3.6358111537992954,1.063630873819857,7
24,4,80,5,False,True,3.231761511415243,3.222308587282896,1.0029335874812406,5
24,4,81,8,False,True,3.8272095844149594,3.5004597157239914,1.0933448447423104,8
24,4,82,8,False,True,3.8849096745252614,3.526511136442423,1.1016297763472809,8
24,4,83,6,False,True,4.016514867544174,3.672810271382332,1.0935808197989172,6
24,4,84,5,False,True,3.021161537617445,3.1093042343854904,0.9716519548671745,5
24,4,85,5,False,True,3.3333618193864822,3.5152118653059006,0.948267685451843,5
24,4,86,2,False,True,2.1989038214087486,2.755955792963505,0.7978734009533031,2
24,4,87,5,False,True,2.968055196106434,3.176459576934576,0.934390986007994,5
24,4,88,9,False,True,4.729165229946375,4.327611532062292,1.0927887577036577,9
24,4,89,3,False,True,2.39640474319458,2.593453973531723,0.9240205408122958,3
24,4,90,5,False,True,3.1577609479427338,3.3138622529804707,0.9528944497022047,5
24,4,91,6,False,True,3.3872597850859165,3.1782593578100204,1.0657593996419183,6
24,4,92,8,False,True,3.589510452002287,3.3661583438515663,1.0663522286640743,8
24,4,93,3,False,True,2.901360858231783,2.9652100056409836,0.9784672426952106,3
24,4,94,5,False,True,3.2795616425573826,3.4462101757526398,0.9516429571336688,5
24,4,95,10,False,True,4.223764408379793,3.860511351376772,1.0940945444632548,10
24,4,96,9,False,True,4.453761503100395,4.085861146450043,1.0900423052726593,9
24,4,97,9,False,True,4.20046504586935,3.8920110091567044,1.0792531254374533,9
24,4,98,7,False,True,3.315561916679144,3.3606612123548985,0.9865802314407788,7
24,4,99,5,False,True,3.084959462285042,2.975205425173044,1.0368895660727744,5
24,4,100,5,False,True,3.042910248041153,2.9958109371364117,1.0157217233974591,5
24,4,101,3,False,True,2.6589608751237392,3.177858889102936,0.8367145829670007,3
24,4,102,5,False,True,3.273310139775276,3.136808518320322,1.043516083515371,5
24,4,103,2,False,True,2.4091056548058987,2.989706117659807,0.805800155599115,2
24,4,104,2,False,True,2.5393092073500156,3.1918101012706757,0.7955702647657841,2
24,4,105,6,False,True,3.075010608881712,2.7094059623777866,1.1349390425726638,6
24,4,106,5,False,True,3.379909321665764,3.3879606053233147,0.9976235604260273,5
24,4,107,6,False,True,3.4488108940422535,3.6643585190176964,0.941177255485027,6
24,4,108,8,False,True,3.368810284882784,3.2347580417990685,1.0414411963279826,8
24,4,109,8,False,True,4.467715043574572,4.050810821354389,1.1029187095142574,8
24,4,110,3,False,True,3.081709146499634,3.1364592723548412,0.9825439704134589,3
24,4,111,2,False,True,2.410905435681343,2.637309953570366,0.9141532387641739,2
24,4,112,6,False,True,3.6763097159564495,3.3602584153413773,1.0940556533307466,6
24,4,113,4,False,True,3.132210113108158,3.1398050487041473,0.997581080519912,4
24,4,114,4,False,True,2.6906561106443405,2.9535614885389805,0.910986996913787,4
24,4,115,9,False,True,4.574409686028957,3.9590103551745415,1.1554427181656828,9
24,4,116,5,False,True,3.401809372007847,3.1874096021056175,1.06726458054233,5
24,4,117,3,False,True,2.9529607854783535,3.060458693653345,0.9648752298477622,3
24,4,118,7,False,True,3.6999606527388096,3.452158998697996,1.0717816456699338,7
24,4,119,6,False,True,4.333311226218939,4.243808798491955,1.0210901178579932,6
24,4,120,6,False,True,3.409408964216709,3.040758892893791,1.1212362059301866,6
24,4,121,7,False,True,3.9645610377192497,3.7401611916720867,1.0599973729867087,7
24,4,122,6,False,True,3.3323117531836033,3.4139584749937057,0.9760844420316938,6
24,4,123,1,False,True,1.9018538296222687,2.6798108592629433,0.7096970381504296,1
24,4,124,5,False,True,3.083560150116682,3.275603521615267,0.9413716067187874,5
24,4,125,1,False,True,1.9016559235751629,2.6169116608798504,0.7266794489103211,1
24,4,126,7,False,True,3.6095594987273216,3.3408100716769695,1.0804443896193863,7
24,4,127,4,False,True,2.9975618235766888,3.0007585883140564,0.9989346811336917,4
24,4,128,7,False,True,3.4732604399323463,3.1355046667158604,1.1077197482120964,7
24,4,129,3,False,True,2.8149550780653954,2.873358316719532,0.9796742236029877,3
24,4,130,5,False,True,2.8289109468460083,3.657708875834942,0.7734106356947983,5
24,4,131,8,False,True,4.108159337192774,3.7222588434815407,1.1036737395055227,8
24,4,132,4,False,True,2.638355363160372,3.0165095813572407,0.8746384826575876,4
24,4,133,5,False,True,3.1195045448839664,3.017059061676264,1.0339554119138736,5
24,4,134,9,False,True,4.680214915424585,4.511664155870676,1.0373588888114793,9
24,4,135,10,False,True,5.12831611558795,4.5067607425153255,1.1379162126822202,10
24,4,136,6,False,True,3.535561263561249,3.206960391253233,1.1024648989130805,6
24,4,137,4,False,True,2.6660063304007053,3.1413091346621513,0.8486927634670489,4
24,4,138,9,False,True,4.338060971349478,3.889009822160005,1.1154667048230966,9
24,4,139,3,False,True,2.4329032748937607,3.0307588167488575,0.8027373413710215,3
24,4,140,6,False,True,3.3391104079782963,3.2380549237132072,1.0312086998664014,6
24,4,141,4,False,True,3.0093593522906303,3.15261073410511,0.9545610308736252,4
